rank_geom,lat,lon,elev,min_clearance,veg_risk,drive_min,park_km,walk_min,ascent_m,n_paths,land,access_conf,geom_score,final_score
7,53.235605169388826,-2.0057192650846956,529.8915525706545,5.379936486970829,0.0,41.2,0.99,16.9,21,1,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",2,12.96,11.91
11,53.228822381391645,-1.9981914230213196,503.6503550146392,5.351489311409709,2.2464661193488666e-05,44.8,0.65,17.6,78,3,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",2,12.92,11.18
20,53.42552323330982,-1.8664541869122364,542.4582382460094,5.266813691242297,0.008951059417419138,43.4,0.83,15.7,32,0,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.85,11.18
15,53.28082375603668,-2.0094831861163835,515.6068728940502,5.308983218415317,0.0041025435728343496,44.6,0.74,20.2,90,2,"{'nature_reserve': 0, 'open_land': 1, 'national_park': 0, 'access_land': 0}",3,12.89,11.16
16,53.203952158735326,-1.9643161337361266,499.59650358668796,5.329817118684915,0.00851748081714998,52.7,0.26,7.9,41,7,"{'nature_reserve': 0, 'open_land': 1, 'national_park': 0, 'access_land': 0}",3,12.88,10.98
9,53.26273632137754,-2.0094831861163835,548.942693461797,5.352589257818368,0.0,38.6,1.43,29.6,82,4,"{'nature_reserve': 0, 'open_land': 1, 'national_park': 0, 'access_land': 0}",2,12.94,9.51
14,53.346390706676075,-1.8438706607221078,528.0055820465043,5.3249840068253755,0.007739329712855181,46.0,1.35,37.2,169,5,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.9,6.56
18,53.42100137464504,-1.9003294761974292,529.6807582363953,5.298479683867884,0.00792772447273471,41.7,2.42,41.4,50,3,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.87,6.35
13,53.355434424005644,-1.8702181079439244,516.5321574079692,5.337682834359809,0.0,52.1,1.88,38.6,104,1,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.91,5.38
6,53.45265438529853,-1.8702181079439244,604.7641540677027,5.365344562029057,0.0016251354238550064,43.2,2.2,50.3,174,2,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.96,4.42
10,53.41195765731546,-1.9116212392924934,531.7386866441302,5.348990701259009,0.0026555909773540165,44.8,2.63,61.7,222,5,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.92,1.87
17,53.45943717329571,-1.8739820289756124,567.6837953190461,5.295318817859474,0.0,40.6,2.97,64.8,203,2,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.88,1.82
5,53.36447814133521,-1.8777459500073006,563.2644760099803,5.392364229277006,0.00030017997291853504,53.6,2.11,59.9,283,2,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.99,0.95
8,53.37578278799718,-1.896565555165741,556.4431425963738,5.359827301377723,0.0022981313135188586,48.5,2.14,66.2,341,2,"{'nature_reserve': 1, 'open_land': 0, 'national_park': 0, 'access_land': 0}",2,12.95,0.93
12,53.461698102628105,-1.8626902658805482,623.8504535813678,5.3175920761411595,0.011721977252558524,45.8,3.22,66.5,182,10,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.92,0.75
19,53.369,-1.8890377131023648,489.38247735863513,5.302559429177702,0.0001770899469164533,53.2,2.76,71.9,305,0,"{'nature_reserve': 1, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,12.85,-1.51
2,53.39387022265632,-1.8777459500073006,606.6186802247785,5.449634961724669,0.00034563507787854775,45.6,3.61,85.8,316,4,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,13.06,-2.94
1,53.38030464666196,-1.8852737920706768,625.245811681219,5.456722356317997,0.0,49.9,2.85,85.7,430,15,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,13.07,-3.55
4,53.38708743465914,-1.8852737920706768,575.9221985752949,5.41715585754813,0.0016624958850544047,49.9,2.96,85.4,410,4,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,13.01,-3.55
3,53.4006530106535,-1.892801634134053,609.6623096251794,5.450387805057005,0.0034895502137066714,44.9,3.31,96.9,473,3,"{'nature_reserve': 0, 'open_land': 0, 'national_park': 0, 'access_land': 0}",1,13.06,-5.07
